timestamp,src_ip,raw
2025-09-28T09:55:39.555818Z,192.168.1.20,DELETE /dashboard HTTP/1.1
2025-09-28T09:55:49.555818Z,192.168.1.12,GET /login HTTP/1.1
2025-09-28T09:55:59.555818Z,192.168.1.6,GET /api/data HTTP/1.1
2025-09-28T09:56:09.555818Z,192.168.1.26,POST /api/data HTTP/1.1
2025-09-28T09:56:19.555818Z,192.168.1.13,PUT /index.html HTTP/1.1
2025-09-28T09:56:29.555818Z,192.168.1.16,GET /index.html HTTP/1.1
2025-09-28T09:56:39.555818Z,192.168.1.13,GET /admin HTTP/1.1
2025-09-28T09:56:49.555818Z,192.168.1.9,HEAD /admin HTTP/1.1
2025-09-28T09:56:59.555818Z,192.168.1.18,PUT /login HTTP/1.1
2025-09-28T09:57:09.555818Z,192.168.1.47,POST /dashboard HTTP/1.1
2025-09-28T09:57:19.555818Z,192.168.1.23,PUT /admin HTTP/1.1
2025-09-28T09:57:29.555818Z,192.168.1.11,PUT /dashboard HTTP/1.1
2025-09-28T09:57:39.555818Z,192.168.1.32,GET /dashboard HTTP/1.1
2025-09-28T09:57:49.555818Z,192.168.1.46,PUT /index.html HTTP/1.1
2025-09-28T09:57:59.555818Z,192.168.1.46,HEAD /login HTTP/1.1
2025-09-28T09:58:09.555818Z,192.168.1.18,POST /index.html HTTP/1.1
2025-09-28T09:58:19.555818Z,192.168.1.23,HEAD /index.html HTTP/1.1
2025-09-28T09:58:29.555818Z,192.168.1.4,GET /dashboard HTTP/1.1
2025-09-28T09:58:39.555818Z,192.168.1.31,GET /admin HTTP/1.1
2025-09-28T09:58:49.555818Z,192.168.1.7,HEAD /api/data HTTP/1.1
2025-09-28T09:58:59.555818Z,192.168.1.18,DELETE /dashboard HTTP/1.1
2025-09-28T09:59:09.555818Z,192.168.1.1,POST /index.html HTTP/1.1
2025-09-28T09:59:19.555818Z,192.168.1.42,HEAD /dashboard HTTP/1.1
2025-09-28T09:59:29.555818Z,192.168.1.42,HEAD /login HTTP/1.1
2025-09-28T09:59:39.555818Z,192.168.1.26,GET /admin HTTP/1.1
2025-09-28T09:59:49.555818Z,192.168.1.44,POST /login HTTP/1.1
2025-09-28T09:59:59.555818Z,192.168.1.50,PUT /index.html HTTP/1.1
2025-09-28T10:00:09.555818Z,192.168.1.31,PUT /api/data HTTP/1.1
2025-09-28T10:00:19.555818Z,192.168.1.23,POST /api/data HTTP/1.1
2025-09-28T10:00:29.555818Z,192.168.1.19,HEAD /login HTTP/1.1
2025-09-28T10:00:39.555818Z,192.168.1.8,DELETE /api/data HTTP/1.1
2025-09-28T10:00:49.555818Z,192.168.1.12,POST /admin HTTP/1.1
2025-09-28T10:00:59.555818Z,192.168.1.28,DELETE /admin HTTP/1.1
2025-09-28T10:01:09.555818Z,192.168.1.39,POST /api/data HTTP/1.1
2025-09-28T10:01:19.555818Z,192.168.1.8,DELETE /login HTTP/1.1
2025-09-28T10:01:29.555818Z,192.168.1.16,PUT /index.html HTTP/1.1
2025-09-28T10:01:39.555818Z,192.168.1.47,DELETE /login HTTP/1.1
2025-09-28T10:01:49.555818Z,192.168.1.19,DELETE /api/data HTTP/1.1
2025-09-28T10:01:59.555818Z,192.168.1.22,PUT /dashboard HTTP/1.1
2025-09-28T10:02:09.555818Z,192.168.1.30,PUT /dashboard HTTP/1.1
2025-09-28T10:02:19.555818Z,192.168.1.42,DELETE /api/data HTTP/1.1
2025-09-28T10:02:29.555818Z,192.168.1.16,POST /dashboard HTTP/1.1
2025-09-28T10:02:39.555818Z,192.168.1.8,DELETE /dashboard HTTP/1.1
2025-09-28T10:02:49.555818Z,192.168.1.37,PUT /dashboard HTTP/1.1
2025-09-28T10:02:59.555818Z,192.168.1.39,GET /index.html HTTP/1.1
2025-09-28T10:03:09.555818Z,192.168.1.37,POST /index.html HTTP/1.1
2025-09-28T10:03:19.555818Z,192.168.1.47,GET /index.html HTTP/1.1
2025-09-28T10:03:29.555818Z,192.168.1.12,GET /login HTTP/1.1
2025-09-28T10:03:39.555818Z,192.168.1.37,HEAD /admin HTTP/1.1
2025-09-28T10:03:49.555818Z,192.168.1.43,HEAD /admin HTTP/1.1
